UID          PID    PPID  C STIME TTY          TIME CMD
lienn       1200    1068  0 13:35 ?        00:00:01 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
lienn       1203    1068  0 13:35 ?        00:00:01 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
lienn       1228    1068  0 13:35 ?        00:00:01 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777234 actions Action Buttons Log out, lock or other system actions
lienn       1308     897  0 13:35 ?        00:00:00 /usr/libexec/bluetooth/obexd
lienn       1320     897  0 13:35 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1324       1  0 13:35 ?        00:00:01 /usr/libexec/udisks2/udisksd
lienn       1337     897  0 13:35 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
lienn       1342     897  0 13:35 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
lienn       1347     897  0 13:35 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
lienn       1353     897  0 13:35 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
lienn       1375    1037  0 13:35 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
lienn       1381     897  0 13:35 ?        00:00:00 /usr/libexec/gvfsd-metadata
lienn       2413       1  0 13:37 ?        00:00:28 /usr/bin/qterminal
lienn       2416    2413  0 13:37 pts/0    00:00:06 /usr/bin/zsh
root        5767       1  0 13:39 ?        00:00:03 /lib/systemd/systemd-journald
root        5768       2  0 13:39 ?        00:00:00 [psimon]
root       14599       1  0 13:44 ?        00:00:00 /usr/sbin/qemu-ga
root       15718       2  0 13:45 ?        00:00:02 [kworker/u8:2-flush-254:0]
systemd+   16477       1  0 13:45 ?        00:00:00 /lib/systemd/systemd-timesyncd
root       16480       2  0 13:45 ?        00:00:00 [psimon]
root       16574       1  0 13:45 ?        00:00:01 /lib/systemd/systemd-udevd
root       16583       2  0 13:45 ?        00:00:00 [psimon]
root       16998       2  0 13:45 ?        00:00:02 [kworker/u8:4-events_unbound]
root       24543       2  0 13:46 ?        00:00:00 [kworker/2:0-events]
root       28388       1  0 13:47 ?        00:00:00 /usr/sbin/cron -f
root       30085       1  0 13:47 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root       43232       2  0 13:49 ?        00:00:00 [psimon]
root       58419       2  0 14:02 ?        00:00:01 [kworker/0:0-events]
root       58591       2  0 14:02 ?        00:00:00 [kworker/3:3-events]
lienn      58947     897  0 14:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal
lienn      58952     897  0 14:03 ?        00:00:00 /usr/libexec/xdg-document-portal
lienn      58956     897  0 14:03 ?        00:00:00 /usr/libexec/xdg-permission-store
root       58963   58952  0 14:03 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
lienn      58966     897  0 14:03 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
lienn      61522    1068  9 14:07 ?        00:03:42 /usr/lib/firefox-esr/firefox-esr
lienn      61618   61522  0 14:07 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20230821110938 -prefsLen 24213 -prefMapSize 234724 -appDir /usr/lib/firefox-esr/browser {129c05c1-a68d-4c88-88f1-ad231eada525} 61522 true socket
lienn      61662    1068  0 14:07 ?        00:00:02 mousepad
lienn      61663   61522  0 14:07 ?        00:00:11 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 1 -isForBrowser -prefsLen 24354 -prefMapSize 234724 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {a2afd30b-ab57-451a-be2c-50e6cfd84976} 61522 true tab
lienn      61740   61522  0 14:07 ?        00:00:07 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 2 -isForBrowser -prefsLen 29684 -prefMapSize 234724 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {54428697-45ad-4c63-b977-a095eb906cf6} 61522 true tab
lienn      61782   61522  0 14:07 ?        00:00:02 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 3 -isForBrowser -prefsLen 29738 -prefMapSize 234724 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {24bca74c-fa5f-4f02-9d5b-36275039b841} 61522 true tab
lienn      61856   61522  3 14:07 ?        00:01:08 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 5 -isForBrowser -prefsLen 25878 -prefMapSize 234724 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {a3146000-ffa0-437b-9f4f-1157e30168f7} 61522 true tab
lienn      61864   61522  0 14:07 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 6 -isForBrowser -prefsLen 25878 -prefMapSize 234724 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {2b64a8d6-5311-4644-844f-262633b7897e} 61522 true tab
lienn      62047   61522  0 14:08 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 7 -isForBrowser -prefsLen 25878 -prefMapSize 234724 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {8def8607-ca50-4d1b-a0e9-45d2c2f0798a} 61522 true tab
lienn      62227   61522  0 14:08 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20230821110938 -prefsLen 32858 -prefMapSize 234724 -appDir /usr/lib/firefox-esr/browser {da682f62-9c1c-4bc1-b695-78833c7d7010} 61522 true rdd
lienn      62229   61522  0 14:08 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20230821110938 -sandboxingKind 0 -prefsLen 32858 -prefMapSize 234724 -appDir /usr/lib/firefox-esr/browser {c3f9f801-0f55-48fc-b89b-32780f497931} 61522 true utility
lienn      62240   61522  0 14:08 ?        00:00:00 /usr/lib/firefox-esr/firefox-esr -contentproc -childID 8 -isForBrowser -prefsLen 28482 -prefMapSize 234724 -jsInitLen 240916 -parentBuildID 20230821110938 -appDir /usr/lib/firefox-esr/browser {fd1da9a8-86c1-465f-b8a9-58e4f22beacc} 61522 true tab
root       62897       2  0 14:09 ?        00:00:00 [kworker/3:1]
root       66138       2  0 14:15 ?        00:00:00 [kworker/1:1-events]
root       69600       2  0 14:22 ?        00:00:00 [kworker/2:2]
lienn      75996     897  0 14:35 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
root       76458       2  0 14:36 ?        00:00:00 [kworker/1:2-events_power_efficient]
root       78943       2  0 14:40 ?        00:00:00 [kworker/0:1-events]
lienn      79329    2416  0 14:40 pts/0    00:00:00 vi output.txt
root       79700       2  0 14:41 ?        00:00:00 [kworker/1:0-events_freezable_power_]
root       81720       2  0 14:45 ?        00:00:00 [kworker/0:2-events]
lienn      81869    2416 99 14:45 pts/0    00:00:00 ps -ef
